year,age,dental_index
2003,12 YEARS OLD,0.74
2003,15 YEARS OLD,1.14
2004,12 YEARS OLD,0.73
2004,15 YEARS OLD,1.07
2005,12 YEARS OLD,0.77
2005,15 YEARS OLD,1.19
2006,12 YEARS OLD,0.74
2006,15 YEARS OLD,1.14
2007,12 YEARS OLD,0.72
2007,15 YEARS OLD,1.07
2008,12 YEARS OLD,0.71
2008,15 YEARS OLD,1.09
2009,12 YEARS OLD,0.68
2009,15 YEARS OLD,1.12
2010,12 YEARS OLD,0.59
2010,15 YEARS OLD,1.1
2011,12 YEARS OLD,0.56
2011,15 YEARS OLD,1.05
2012,12 YEARS OLD,0.51
2012,15 YEARS OLD,1.07
2013,12 YEARS OLD,0.46
2013,15 YEARS OLD,0.98
2014,12 YEARS OLD,0.42
2014,15 YEARS OLD,0.97
2015,12 YEARS OLD,0.41
2015,15 YEARS OLD,0.88
2016,12 YEARS OLD,0.42
2016,15 YEARS OLD,0.84
2017,12 YEARS OLD,0.37
2017,15 YEARS OLD,0.77
2018,12 YEARS OLD,0.36
2018,15 YEARS OLD,0.76
2019,12 YEARS OLD,0.35
2019,15 YEARS OLD,0.76
2020,12 YEARS OLD,0.35
2020,15 YEARS OLD,0.69
